Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
204,Tyler Hansbrough\hansbty01,PF,30,CHO,44,0,7.8,0.7,1.6,.451,0.0,0.1,.667,0.7,1.5,.441,.465,0.9,1.5,.585,0.9,1.1,2.0,0.2,0.3,0.2,0.3,1.3,2.4
205,Tim Hardaway\hardati02,SG,23,ATL,51,1,16.9,2.2,5.2,.430,0.9,2.8,.338,1.3,2.4,.537,.521,1.0,1.1,.893,0.1,1.5,1.7,1.0,0.4,0.1,0.5,0.9,6.4
206,James Harden\hardeja01,SG,26,HOU,82,82,38.1,8.7,19.7,.439,2.9,8.0,.359,5.8,11.7,.494,.512,8.8,10.2,.860,0.8,5.3,6.1,7.5,1.7,0.6,4.6,2.8,29.0
207,Maurice Harkless\harklma01,SF,22,POR,78,14,18.7,2.5,5.3,.474,0.5,1.8,.279,2.0,3.5,.576,.522,0.9,1.4,.622,1.3,2.3,3.6,0.9,0.6,0.4,0.8,1.6,6.4
208,Justin Harper\harpeju01,PF,26,DET,5,0,7.0,0.8,2.0,.400,0.8,1.8,.444,0.0,0.2,.000,.600,0.2,0.4,.500,0.0,0.2,0.2,0.0,0.2,0.0,0.4,0.6,2.6
209,Montrezl Harrell\harremo01,PF,22,HOU,39,1,9.7,1.5,2.3,.644,0.0,0.0,.000,1.5,2.3,.652,.644,0.6,1.2,.522,0.6,1.0,1.7,0.4,0.3,0.3,0.4,1.2,3.6
210,Devin Harris\harride01,PG,32,DAL,64,0,20.0,2.6,5.8,.447,0.8,2.5,.329,1.8,3.4,.532,.516,1.6,2.2,.721,0.3,1.9,2.2,1.8,0.9,0.2,1.0,1.9,7.6
211,Gary Harris\harriga01,SG,21,DEN,76,76,32.1,4.7,10.1,.469,1.4,3.9,.354,3.3,6.2,.543,.538,1.4,1.8,.820,0.7,2.2,2.9,1.9,1.3,0.2,1.3,1.9,12.3
212,Joe Harris\harrijo01,SG,24,CLE,5,0,3.0,0.2,0.8,.250,0.2,0.8,.250,0.0,0.0,,.375,0.0,0.0,,0.0,0.6,0.6,0.4,0.0,0.0,0.2,0.2,0.6
213,Tobias Harris\harrito02,PF,23,TOT,76,74,33.1,5.5,11.7,.469,1.1,3.1,.335,4.4,8.6,.518,.514,2.7,3.2,.831,1.3,5.4,6.7,2.2,0.9,0.5,1.4,2.0,14.7
214,Tobias Harris\harrito02,PF,23,ORL,49,49,32.9,5.1,11.0,.464,1.0,3.1,.311,4.2,8.0,.523,.507,2.4,3.1,.784,1.4,5.5,7.0,2.0,1.0,0.6,1.6,1.9,13.7
215,Tobias Harris\harrito02,PF,23,DET,27,25,33.4,6.1,12.9,.477,1.2,3.3,.375,4.9,9.6,.512,.524,3.0,3.3,.911,0.9,5.3,6.2,2.6,0.7,0.4,1.1,2.3,16.6
216,Aaron Harrison\harriaa01,SG,21,CHO,21,0,4.4,0.2,0.9,.263,0.1,0.5,.300,0.1,0.4,.222,.342,0.2,0.6,.417,0.2,0.5,0.7,0.1,0.3,0.0,0.2,0.5,0.9
217,Udonis Haslem\hasleud01,PF,35,MIA,37,0,7.0,0.6,1.6,.377,0.0,0.2,.111,0.6,1.4,.423,.385,0.3,0.4,.750,0.3,1.8,2.0,0.4,0.1,0.1,0.1,0.7,1.6
218,Spencer Hawes\hawessp01,PF,27,CHO,57,6,18.2,2.2,5.4,.405,0.7,1.8,.373,1.5,3.6,.422,.467,0.9,1.1,.831,0.9,3.4,4.3,1.9,0.4,0.5,1.0,1.9,6.0
219,Chuck Hayes\hayesch01,C,32,HOU,2,0,12.0,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,1.0,1.0,1.000,0.0,4.0,4.0,1.0,0.0,0.0,1.5,3.0,2.0
220,Gordon Hayward\haywago01,SF,25,UTA,80,80,36.2,6.5,15.0,.433,1.8,5.1,.349,4.7,9.9,.477,.493,4.9,6.0,.824,0.8,4.2,5.0,3.7,1.2,0.3,2.5,2.3,19.7
